House_Type,Area,Province,Percentage_Increase
Apartment,BARRIE_AND_DISTRICT,ON,3.3767993764422415
Apartment,BRANTFORD_REGION,ON,3.9240379774760243
Apartment,CALGARY,AB,2.617999738636734
Apartment,CAMBRIDGE,ON,3.084037571736239
Apartment,CENTRE_DU_QUEBEC,QC,2.8928233320736876
Apartment,CHILLIWACK_AND_DISTRICT,BC,5.038725805130642
Apartment,EDMONTON,AB,1.850873938338769
Apartment,ESTRIE,QC,2.0675250071770908
Apartment,FRASER_VALLEY,BC,4.829709770941425
Apartment,FREDERICTON,NB,1.7835804153607882
Apartment,GREATER_MONCTON,NB,3.42756077424507
Apartment,GREATER_TORONTO,ON,3.6330475765196693
Apartment,GREATER_VANCOUVER,BC,3.399778097439559
Apartment,GREY_BRUCE_OWEN_SOUND,ON,3.754428086185639
Apartment,GUELPH_AND_DISTRICT,ON,3.2621584639451076
Apartment,HALIFAX_DARTMOUTH,NS,2.581278534208958
Apartment,HAMILTON_BURLINGTON,ON,3.5412708751005955
Apartment,HURON_PERTH,ON,3.9860167654289973
Apartment,INTERIOR_BC,BC,3.0667538182603997
Apartment,KINGSTON_AND_AREA,ON,2.5004911231478166
Apartment,KITCHENER_WATERLOO,ON,4.086234244527591
Apartment,LAKELANDS,ON,2.4703717194993007
Apartment,LONDON_ST_THOMAS,ON,4.206761270960162
Apartment,LOWER_MAINLAND,BC,3.4525734476011727
Apartment,MAURICIE,QC,2.664539775725519
Apartment,MISSISSAUGA,ON,3.9131059760087905
Apartment,MONTREAL_CMA,QC,2.0615332568190197
Apartment,NIAGARA_REGION,ON,3.3170548268364457
Apartment,OAKVILLE_MILTON,ON,3.4383557689417623
Apartment,OTTAWA,ON,2.212646973156289
Apartment,QUEBEC_CMA,QC,1.5450104484557514
Apartment,REGINA,SK,2.330462183486232
Apartment,RIDEAU_ST_LAWRENCE,ON,2.242611261730447
Apartment,SAINT_JOHN_NB,NB,4.030967573230205
Apartment,SASKATOON,SK,3.397376805861486
Apartment,ST_JOHNS_NL,NL,1.8765520915447202
Apartment,VANCOUVER_ISALAND,BC,4.042035120336518
Apartment,VICTORIA,BC,2.9746650046275294
Apartment,WINDSOR_ESSEX,ON,3.8701873191484086
Apartment,WINNIPEG,MB,1.499309149446645
Composite,BANCROFT_AND_AREA,ON,4.582165571603905
Composite,BARRIE_AND_DISTRICT,ON,4.151622509336471
Composite,BRANTFORD_REGION,ON,4.412432618735406
Composite,CALGARY,AB,2.6034016941909193
Composite,CAMBRIDGE,ON,3.7999185049831192
Composite,CENTRE_DU_QUEBEC,QC,3.269781793037291
Composite,CHILLIWACK_AND_DISTRICT,BC,3.846921565273882
Composite,EDMONTON,AB,2.231955907261236
Composite,ESTRIE,QC,2.3816965716582703
Composite,FRASER_VALLEY,BC,3.8574767672195063
Composite,FREDERICTON,NB,2.019112071178041
Composite,GREATER_MONCTON,NB,2.37881913476274
Composite,GREATER_TORONTO,ON,3.5569741171284335
Composite,GREATER_VANCOUVER,BC,3.3906432871810597
Composite,GREY_BRUCE_OWEN_SOUND,ON,3.159048706148272
Composite,GUELPH_AND_DISTRICT,ON,3.424637230184227
Composite,HALIFAX_DARTMOUTH,NS,2.894477682349292
Composite,HAMILTON_BURLINGTON,ON,3.9022943857455714
Composite,HURON_PERTH,ON,3.6036977344336916
Composite,INTERIOR_BC,BC,2.9903115558749187
Composite,KAWARTHA_LAKES,ON,3.507891862165341
Composite,KINGSTON_AND_AREA,ON,2.552248117596954
Composite,KITCHENER_WATERLOO,ON,3.861366425135798
Composite,LAKELANDS,ON,3.0853112596393695
Composite,LONDON_ST_THOMAS,ON,4.163995558647143
Composite,LOWER_MAINLAND,BC,3.487312756061715
Composite,MAURICIE,QC,2.9891444285658952
Composite,MISSISSAUGA,ON,3.6623793488976224
Composite,MONTREAL_CMA,QC,2.4510085126319856
Composite,NIAGARA_REGION,ON,3.94431652219175
Composite,NORTHUMBERLAND_HILLS,ON,3.7856375956292547
Composite,NORTH_BAY,ON,2.906678737785303
Composite,OAKVILLE_MILTON,ON,3.4537724618404333
Composite,OTTAWA,ON,2.5392238799553213
Composite,PETERBOROUGH_AND_KAWARTHAS,ON,3.1991761956642883
Composite,QUEBEC_CMA,QC,2.2482917497854085
Composite,QUINTE_AND_DISTRICT,ON,3.6532602310806013
Composite,REGINA,SK,3.1046514332134056
Composite,RIDEAU_ST_LAWRENCE,ON,3.0148269323197487
Composite,SAINT_JOHN_NB,NB,2.0074108304338436
Composite,SASKATOON,SK,3.173346720355981
Composite,SAULT_STE_MARIE,ON,2.75360813883321
Composite,SIMCOE_AND_DISTRICT,ON,3.9710298172882226
Composite,ST_JOHNS_NL,NL,1.818736571422196
Composite,SUDBURY,ON,3.4882157340163014
Composite,TILLSONBURG_DISTRICT,ON,4.646236823314269
Composite,VANCOUVER_ISALAND,BC,3.4095039219591543
Composite,VICTORIA,BC,2.5476120588364575
